Indicadores de producto PATR;Indicadores de producto Plan indicativo
Hectáreas formalizadas de pequeña y mediana propiedad rural;#N/D
Hectáreas formalizadas para mujeres rurales;#N/D
Hectáreas reforestadas y con mantenimiento apoyadas;Hectáreas reforestadas y con mantenimiento apoyadas
Hogares beneficiados con prácticas agroecológicas para la producción de alimentos para el autoconsumo;#N/D
Hogares víctima con ayuda humanitaria por confinamiento;#N/D
Indicador de coordinación entre la justicia propia y ordinaria;#N/D
Indicador de ejecución de ACTI agropecuaria por tipo de recurso;#N/D
Indicadores de casos sin resolver;#N/D
Indicadores de coordinación entre los mecanismos de resolucion de conflcitos afro y la justicia ordinaria;#N/D
Indicadores de formación en Ley 70;#N/D
Indicadores de producto SISPT;#N/D
Indicadores relacionados con justicia propia en pueblos y comunidades;#N/D
Indicadores relacionados con prevencion de violencias - NNA y mujeres / ICBF;#N/D
Infraestructura para el servicio de restaurante adecuada;Infraestructura para el servicio de restaurante adecuada
Infraestructura para el servicio de restaurante ampliada;#N/D
Infraestructura para el servicio de restaurante con reforzamiento estructural;#N/D
Infraestructura para el servicio de restaurante construida;Infraestructura para el servicio de restaurante construida
Infraestructura para el servicio de restaurante dotada;#N/D
Infraestructura para el servicio de restaurante modificada;#N/D
Infraestructura para el servicio de restaurante restaurada;Infraestructura para el servicio de restaurante restaurada
Infraestructura para la transformación de productos agropecuarios construida;Infraestructura para la transformación de productos agropecuarios construida
Infraestructuras culturales construidas, adecuadas o dotadas de uso exclusivo comunitario de propiedad de los consejos comunitarios u organizaciones de base Negras, Afrocolombianas, Raizales y Palenqueras;#N/D
Infraestructuras culturales dotadas;Infraestructuras culturales dotadas
Iniciativas comunitarias apoyadas;Iniciativas comunitarias apoyadas
Jornadas móviles de atención, orientación y acceso a la justicia a las víctimas del conflicto armado realizadas;Jornadas móviles de atención, orientación y acceso a la justicia a las víctimas del conflicto armado realizadas
Jornadas móviles gratuitas de conciliación realizadas;Jornadas móviles gratuitas de conciliación realizadas
Jóvenes atendidos para la construcción de paz;Jóvenes atendidos para la Construcción de Paz
Jóvenes certificados en el Servicio Social para la Paz promoviendo la cultura de paz y los derechos humanos en territorios PDET;#N/D
Jóvenes participantes en los procesos de formación en liderazgo juvenil y poder popular;#N/D
Líneas de crédito blandas y subsidiadas en condiciones FINAGRO para productores de la economía campesina, familiar y comunitaria, operando;#N/D
Matrícula SENA;#N/D
Mecanismos Especiales de Consulta fortalecidos técnica y operativamente;#N/D
Medidas de reparación colectiva implementadas para sujetos de reparación colectiva afros con plan aprobado;#N/D
Medidas de reparación colectiva implementadas para sujetos de reparación colectiva indígenas con plan aprobado;#N/D
Medidas de reparación simbólica apoyadas;Medidas de reparación simbólica apoyadas
Medidas de reparación simbólica concertadas;Medidas de reparación simbólica concertadas
Mineros beneficiados con créditos;Mineros beneficiados con créditos
Mineros capacitados en tecnología minera;Mineros capacitados en tecnología minera
Mineros de los distritos mineros asistidos técnicamente;Mineros de los distritos mineros asistidos técnicamente
Mineros de subsistencia con reconversión laboral en proyectos productivos;Mineros de subsistencia con reconversión laboral en proyectos productivos
Muelle fluvial mantenido;Muelle Fluvial Mantenido
Muelles en operación;Muelles en operación
Mujeres con formación en competencias STEAM;#N/D
