Indicadores de producto PATR;Indicadores de producto Plan indicativo
Predios entregados y compensados en cumplimiento de órdenes judiciales de restitución de tierras;#N/D
Procesos colectivos de memoria histórica y archivos de derechos humanos apoyados;Procesos colectivos de memoria histórica y archivos de derechos humanos apoyados
Procesos de formación en resolución de conflictos realizados;Procesos de formación en resolución de conflictos realizados
Procesos de Memoria Histórica con poblaciones de atención prioritaria asistidos técnicamente;Procesos de Memoria Histórica con poblaciones de atención prioritaria asistidos técnicamente
Procesos de salvaguardia efectiva del patrimonio inmaterial realizados;Procesos de salvaguardia efectiva del patrimonio inmaterial realizados
Producciones del servicio de radio comunitaria y de interés público de las mujeres pertenecientes a los pueblos étnicas con contenidos orientados a fomentar contenidos de paz con financiación para la producción y la divulgación;#N/D
Producciones del servicio de radio comunitaria y de interés público de los pueblos étnicos con contenido orientados a fomentar contenidos de paz con financiación para la producción y la divulgación;#N/D
Productoras en el registro que reciben el servicio de extensión agropecuaria;#N/D
Productores apoyados con activos productivos y de comercialización;Productores apoyados con activos productivos y de comercialización
Productores apoyados para la participación en mercados campesinos;Productores apoyados para la participación en mercados campesinos
Productores atendidos con servicios de extensión agropecuaria;#N/D
Programa de liderazgo político y social para miembros de partidos y organizaciones sociales, con especial énfasis en poblaciones más vulnerables como población campesina, mujeres, minorías religiosas, pueblos y comunidades étnicas y población LGBTI, implementado;#¡VALOR!
Programa de protección individual y colectiva de líderes y lideresas de organizaciones y movimientos sociales y defensores y defensoras de derechos humanos fortalecida;#N/D
Programas de formación sobre los derechos políticos y formas de participación política y ciudadana de la mujer creados y en implementación;#N/D
Programas de gestión empresarial ejecutados en unidades productivas de mujeres;Programas de gestión empresarial ejecutados en unidades productivas de mujeres
Programas o estrategias de apoyo implementadas al emprendimiento rural;#N/D
Proyectos ambientales con enfoque diferencial implementados;#N/D
Proyectos asociativos estructurados;Proyectos asociativos estructurados
Proyectos cofinanciados para la adecuación de la oferta turística;Proyectos cofinanciados para la adecuación de la oferta turística
